paper/figures/fig_c_arcs.png             0 pixels differ; bytes identical
paper/figures/fig_c_boundary.png         0 pixels differ; bytes differ
paper/figures/fig_c_cap.png              0 pixels differ; bytes differ
paper/figures/fig_c_cell24.png           0 pixels differ; bytes identical
paper/figures/fig_c_certificate.png      0 pixels differ; bytes identical
paper/figures/fig_c_certmap.png          0 pixels differ; bytes identical
paper/figures/fig_c_corner.png           0 pixels differ; bytes identical
paper/figures/fig_c_counting.png         0 pixels differ; bytes differ
paper/figures/fig_c_d4contacts.png       0 pixels differ; bytes differ
paper/figures/fig_c_defect.png           0 pixels differ; bytes identical
paper/figures/fig_c_domain3d.png         0 pixels differ; bytes identical
paper/figures/fig_c_pf1.png              0 pixels differ; bytes identical
paper/figures/fig_c_pf2.png              0 pixels differ; bytes identical
paper/figures/fig_c_rig.png              0 pixels differ; bytes differ
paper/figures/fig_c_rootmeet.png         0 pixels differ; bytes identical
paper/figures/fig_c_sigma2.png           0 pixels differ; bytes differ
paper/figures/fig_c_slack.png            0 pixels differ; bytes identical
paper/figures/fig_c_structab.png         0 pixels differ; bytes identical
paper/figures/fig_c_structcd.png         0 pixels differ; bytes identical
paper/figures/fig_c_swap.png             0 pixels differ; bytes differ
paper/figures/fig_c_verify.png           0 pixels differ; bytes differ
paper/figures/fig_chain_plateau.png      0 pixels differ; bytes identical
paper/figures/fig_dense_growth.png       0 pixels differ; bytes differ
paper/figures/fig_free_volume.png        0 pixels differ; bytes differ
paper/figures/fig_fundamental_domain.png 0 pixels differ; bytes identical
paper/figures/fig_two_stage.png          0 pixels differ; bytes identical
26 of 26 figures pixel-identical
