$ (cd misc && full_curve_map.py)
       t  transitions (theta values)
  0.0200  ['0.04004(signvertex)', '1.04720(pi/3)', '1.37343(OTHER)']
  0.0895  ['0.17828(signvertex)', '1.04720(pi/3)', '1.17153(OTHER)']
  0.1590  ['0.31402(signvertex)', '1.04720(pi/3)', '1.06097(OTHER)', '1.55811(OTHER)']
  0.2285  ['0.44547(signvertex)', '0.98448(OTHER)', '1.04720(pi/3)', '1.54447(OTHER)']
  0.2980  ['0.57110(signvertex)', '0.92782(OTHER)', '1.04720(pi/3)', '1.52575(OTHER)']
  0.3675  ['0.68977(signvertex)', '0.88467(OTHER)', '1.04720(pi/3)', '1.50176(OTHER)']
  0.4369  ['0.80065(signvertex)', '0.85158(OTHER)', '1.04720(pi/3)', '1.47229(OTHER)']
  0.5064  ['0.82647(OTHER)', '1.04720(pi/3)', '1.43707(OTHER)']
  0.5759  ['0.80800(OTHER)', '1.04720(pi/3)', '1.39578(OTHER)']
  0.6454  ['0.79533(OTHER)', '1.04720(pi/3)', '1.08309(signvertex)', '1.34808(OTHER)']
  0.7149  ['0.78789(OTHER)', '1.04720(pi/3)', '1.16053(signvertex)', '1.29358(OTHER)']
  0.7844  ['0.78540(OTHER)', '1.04720(pi/3)', '1.23002(signvertex)']
