$ (cd misc && full_range_vertex_jump_check.py)
       t    theta_f   n(-)   n(+)  jump?
  0.0200   0.039992     12      9   True
  0.0464   0.092618     12      9   True
  0.0727   0.145051     12      9   True
  0.0991   0.197186     12      9   True
  0.1254   0.248918     12      9   True
  0.1518   0.300147     12      9   True
  0.1782   0.350779     12      9   True
  0.2045   0.400725     12      9   True
  0.2309   0.449901     12      9   True
  0.2572   0.498231     12      9   True
  0.2836   0.545646     12      9   True
  0.3099   0.592085     12      9   True
  0.3363   0.637494     12      9   True
  0.3627   0.681825     12      9   True
  0.3890   0.725038     12      9   True
  0.4154   0.767102     12      9   True
  0.4417   0.807990     12      9   True
  0.4681   0.847682     16     15   True
  0.4945   0.886164     16     15   True
  0.5208   0.923428     16     15   True
  0.5472   0.959469     16     15   True
  0.5735   0.994289     16     15   True
  0.5999   1.027891     16     15   True
  0.6262   1.060284     14     11   True
  0.6526   1.091479     14     11   True
  0.6790   1.121489     14     11   True
  0.7053   1.150329     14     11   True
  0.7317   1.178018     14     11   True
  0.7580   1.204574     14     11   True
  0.7844   1.230016     14      8   True

ALL sampled t show a vertex-count jump exactly at formula theta: True
