$ (cd verification && final_full_verification2.py)
         t    theta_c(bisect)   theta_c(formula)     abs diff
  0.010000     0.019999000073     0.019999000075     1.70e-12
  0.025818     0.051619458187     0.051619458188     6.79e-13
  0.041637     0.083201231373     0.083201231373     4.41e-13
  0.057455     0.114720784059     0.114720784059     3.51e-13
  0.073273     0.146154812311     0.146154812311     2.81e-13
  0.089092     0.177480328627     0.177480328627     2.51e-13
  0.104910     0.208674743730     0.208674743730     2.16e-13
  0.120728     0.239715944625     0.239715944625     1.98e-13
  0.136547     0.270582368250     0.270582368250     1.82e-13
  0.152365     0.301253070136     0.301253070137     1.62e-13
  0.168183     0.331707787553     0.331707787553     1.60e-13
  0.184002     0.361926996723     0.361926996723     1.48e-13
  0.199820     0.391891963779     0.391891963779     1.39e-13
  0.215638     0.421584789219     0.421584789219     1.32e-13
  0.231457     0.450988445719     0.450988445719     1.25e-13
  0.247275     0.480086809252     0.480086809252     1.15e-13
  0.263093     0.508864683548     0.508864683548     1.14e-13
  0.278912     0.537307817999     0.537307817999     1.07e-13
  0.294730     0.565402919214     0.565402919214     1.01e-13
  0.310548     0.593137656455     0.593137656455     9.86e-14
  0.326367     0.620500661282     0.620500661282     9.28e-14
  0.342185     0.647481521745     0.647481521745     9.29e-14
  0.358003     0.674070771535     0.674070771535     8.93e-14
  0.373822     0.700259874494     0.700259874495     8.27e-14
  0.389640     0.726041204950     0.726041204950     7.82e-14
  0.405458     0.751408024302     0.751408024302     7.66e-14
  0.421277     0.776354454345     0.776354454345     7.17e-14
  0.437095     0.800875447747     0.800875447747     6.97e-14
  0.452913     0.824966756164     0.824966756164     6.76e-14
  0.468732     0.848624896383     0.848624896383     6.44e-14
  0.484550     0.871847114928     0.871847114928     6.10e-14
  0.500368     0.894631351502     0.894631351502     5.71e-14
  0.516187     0.916976201631     0.916976201631     5.44e-14
  0.532005     0.938880878836     0.938880878836     5.36e-14
  0.547823     0.960345176641     0.960345176641     5.14e-14
  0.563642     0.981369430695     0.981369430695     4.70e-14
  0.579460     1.001954481244     1.001954481244     4.71e-14
  0.595278     1.022101636172     1.022101636172     4.31e-14
  0.611097     1.041812634804     1.041812634804     4.15e-14
  0.626915     1.061089612619     1.061089612619     3.84e-14
  0.642733     1.079935067020     1.079935067020     3.69e-14
  0.658552     1.098351824264     1.098351824264     3.73e-14
  0.674370     1.116343007643     1.116343007643     3.51e-14
  0.690188     1.133912006978     1.133912006978     3.22e-14
  0.706007     1.151062449487     1.151062449487     3.09e-14
  0.721825     1.167798172045     1.167798172045     2.91e-14
  0.737643     1.184123194864     1.184123194864     2.73e-14
  0.753462     1.200041696585     1.200041696585     2.58e-14
  0.769280     1.215557990792     1.215557990792     2.46e-14
  0.785098     1.230676503912     1.230676503912     2.33e-14

max abs diff over 50 samples across full [0,pi/4): 1.702e-12
