$ (cd verification && verify_track0.py)
         t    theta_c(bisect)   theta_c(formula)     abs diff
  0.005000     1.471128499386     1.471128499386     1.94e-13
  0.025003     1.350842006202     1.350842006202     1.00e-13
  0.045005     1.279509966139     1.279509966139     8.10e-14
  0.065008     1.225180361622     1.225180361622     7.46e-14
  0.085010     1.180550810857     1.180550810857     6.44e-14
  0.105013     1.142466545342     1.142466545342     6.04e-14
  0.125015     1.109209554691     1.109209554691     5.88e-14
  0.145018     1.079716038192     1.079716038192     5.48e-14
  0.165020     1.053270469345     1.053270469345     5.15e-14
  0.185023     1.029362880423     1.029362880422     5.02e-14
  0.205025     1.007613921223     1.007613921223     4.69e-14
  0.225028     0.987731986217     0.987731986217     4.57e-14
  0.245030     0.969487034967     0.969487034967     4.33e-14
  0.265033     0.952693762543     0.952693762543     4.30e-14
  0.285035     0.937200320625     0.937200320625     4.06e-14
  0.305038     0.922880493871     0.922880493871     3.92e-14
  0.325040     0.909628113795     0.909628113795     3.77e-14
  0.345043     0.897352970792     0.897352970792     3.73e-14
  0.365045     0.885977758438     0.885977758438     3.63e-14
  0.385048     0.875435747005     0.875435747005     3.49e-14
  0.405050     0.865668983454     0.865668983454     3.44e-14
  0.425053     0.856626878983     0.856626878983     3.34e-14
  0.445055     0.848265086823     0.848265086823     3.22e-14
  0.465058     0.840544489148     0.840544600834     1.12e-07
  0.485060     0.833430914344     0.833431024443     1.10e-07
  0.505063     0.826893864074     0.826893972738     1.09e-07
  0.525065     0.820906472526     0.820906579892     1.07e-07
  0.545068     0.815444984668     0.815445090866     1.06e-07
  0.565070     0.810488416106     0.810488521254     1.05e-07
  0.585073     0.806018268609     0.806018372820     1.04e-07
  0.605076     0.802018291609     0.802018394990     1.03e-07
  0.625078     0.798474282019     0.798474384669     1.03e-07
  0.645081     0.795373916336     0.795374018351     1.02e-07
  0.665083     0.792706610247     0.792706711720     1.01e-07
  0.685086     0.790463401927     0.790463502945     1.01e-07
  0.705088     0.788636856001     0.788636956651     1.01e-07
  0.725091     0.787220985789     0.787221086154     1.00e-07
  0.745093     0.786211191949     0.786211292112     1.00e-07
  0.765096     0.785604216108     0.785604316149     1.00e-07
  0.785098     0.785398108397     0.785398208397     1.00e-07

Matched 40/40. max abs diff: 1.117e-07
