starts 60 (seed 7), kinds near24 / del23 / random in rotation; one neighbour held at distance 2 + 0.1
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   24  8.061831250        23         1    yes 2.1000
   3 near24   24  8.061831250        23         1    yes 2.1000
   1 del23    26  8.061831250        23         1    yes 2.1000
   4 del23    26  8.061831250        23         1    yes 2.1000
   6 near24   26  8.061831250        23         1    yes 2.1000
   7 del23    26  8.061831250        23         1    yes 2.1000
   2 random   26  8.848692586        18         1    yes 2.1000
   8 random   24  8.848242402        18         1    yes 2.1000
   9 near24   25  8.061831250        23         1    yes 2.1000
  10 del23    24  8.061831250        23         1    yes 2.1000
  12 near24   24  8.061831250        23         1    yes 2.1000
  13 del23    24  8.061831250        23         1    yes 2.1000
  11 random   24  9.646700078        15         1    yes 2.1000
  15 near24   25  8.061831250        23         1    yes 2.1000
  16 del23    24  8.061831250        23         1    yes 2.1000
   5 random   26  8.848692855        18         1    yes 2.1000
  18 near24   25  8.061831250        23         1    yes 2.1000
  19 del23    24  8.061831250        23         1    yes 2.1000
  17 random   24  9.106522699        17         1     no 2.1000
  21 near24   24  8.061831250        23         1    yes 2.1000
  14 random   26  8.849520581         0        19     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  22 del23    26  8.375786019        21         2    yes 2.1000 2.3729
  24 near24   25  8.061831250        23         1    yes 2.1000
  25 del23    26  8.061831250        23         1    yes 2.1000
  20 random   26  9.106342157        17         1    yes 2.1000
  27 near24   26  8.061831250        23         1    yes 2.1000
  28 del23    24  8.061831250        23         1    yes 2.1000
  23 random   22  8.602605001        19         1    yes 2.1000
  29 random   22  9.121419708        17         1    yes 2.1000
  30 near24   24  8.061831250        23         1    yes 2.1000
  31 del23    26  8.061831250        23         1    yes 2.1000
  26 random   25  9.104387891        17         1    yes 2.1000
  34 del23    24  8.061831250        23         1    yes 2.1000
  33 near24   24  8.061831250        23         1    yes 2.1000
  36 near24   25  8.061831250        23         1    yes 2.1000
  37 del23    26  8.061831250        23         1    yes 2.1000
  35 random   22  9.674245649        15         1    yes 2.1000
  39 near24   25  8.061831250        23         1    yes 2.1000
  40 del23    24  8.061831250        23         1    yes 2.1000
  38 random   25  8.427080947        20         1    yes 2.1000
  42 near24   24  8.061831250        23         1    yes 2.1000
  43 del23    24  8.061831250        23         1    yes 2.1000
  44 random   22  8.848692586        18         1    yes 2.1000
  45 near24   24  8.061831250        23         1    yes 2.1000
  46 del23    24  8.061831250        23         1    yes 2.1000
  32 random   25  8.848625514        10         9     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.10
  48 near24   26  8.061831250        23         1    yes 2.1000
  41 random   25  9.387684792        16         1    yes 2.1000
  49 del23    25  8.061831250        23         1    yes 2.1000
  51 near24   26  8.061831250        23         1    yes 2.1000
  52 del23    25  8.061831250        23         1    yes 2.1000
  53 random   23  9.674245649        15         1    yes 2.1000
  54 near24   24  8.061831250        23         1    yes 2.1000
  55 del23    26  8.061831250        23         1    yes 2.1000
  47 random   26  9.375043474         0        17     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  57 near24   25  8.061831250        23         1    yes 2.1000
  58 del23    25  8.061831250        23         1    yes 2.1000
  59 random   22  9.394392257        16         1    yes 2.1000
  56 random   24  9.391232860         0        17     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00
  50 random   26  8.853568903         0        19     no 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.0000 2.00

feasible endpoints: 54 of 60
least volume overall: 8.061831250 (23 contacts, 1 shell neighbours)
least volume with a shell neighbour: 8.061831250 (23 contacts, 1 shell neighbours at 2.1000)
RESULT: no feasible endpoint has volume below 8 (exploration, not proof)
total time 436s
