starts 240 (seed 1), kinds near24 / del23 / random in rotation
   # kind      n       volume  contacts     shell   feas shell distances
   0 near24   25  8.000000000        24         0    yes 
   1 del23    26  8.000000000        24         0    yes 
   3 near24   26  8.000000000        24         0    yes 
   5 random   25  8.774035109        19         0    yes 
   6 near24   26  8.000000000        24         0    yes 
   7 del23    24  8.000000000        24         0    yes 
   2 random   24  8.526397054        20         0    yes 
   9 near24   25  8.000000000        24         0    yes 
  10 del23    26  8.000000000        24         0    yes 
   4 del23    26  8.526397054        20         0    yes 
  12 near24   26  8.000000000        24         0    yes 
  13 del23    24  8.000000000        24         0    yes 
   8 random   25  8.774035109        19         0    yes 
  15 near24   26  8.000000000        24         0    yes 
  16 del23    24  8.000000000        24         0    yes 
  11 random   24  9.022069047        18         0    yes 
  18 near24   24  8.000000000        24         0    yes 
  19 del23    25  8.000000000        24         0    yes 
  17 random   25  9.022717557        18         0    yes 
  21 near24   25  8.000000000        24         0    yes 
  22 del23    25  8.000000000        24         0    yes 
  14 random   23  8.774035109        19         0    yes 
  24 near24   24  8.000000000        24         0    yes 
  23 random   26  8.774035109        19         0    yes 
  20 random   25  8.526397054        20         0    yes 
  25 del23    26  8.338022557        22         1    yes 2.4238
  28 del23    24  8.000000000        24         0    yes 
  27 near24   25  8.000000000        24         0    yes 
  30 near24   25  8.000000000        24         0    yes 
  31 del23    24  8.000000000        24         0    yes 
  26 random   22  8.526397054        20         0    yes 
  29 random   25  9.022717557        18         0    yes 
  33 near24   26  8.000000000        24         0    yes 
  34 del23    25  8.000000000        24         0    yes 
  36 near24   26  8.000000000        24         0    yes 
  37 del23    24  8.000000000        24         0    yes 
  32 random   25  9.289587477        17         0    yes 
  39 near24   26  8.000000000        24         0    yes 
  40 del23    26  8.000000000        24         0    yes 
  35 random   22  9.022717557        18         0    yes 
  42 near24   26  8.000000000        24         0    yes 
  43 del23    24  8.000000000        24         0    yes 
  38 random   25  8.526397054        20         0    yes 
  45 near24   24  8.000000000        24         0    yes 
  46 del23    24  8.000000000        24         0    yes 
  41 random   25  9.022717557        18         0    yes 
  48 near24   24  8.000000000        24         0    yes 
  47 random   25  9.289587477        17         0    yes 
  49 del23    26  8.336218986        22         1    yes 2.3986
  51 near24   24  8.000000000        24         0    yes 
  52 del23    24  8.000000000        24         0    yes 
  53 random   25  9.297473265        17         0    yes 
  54 near24   26  8.000000000        24         0    yes 
  55 del23    25  8.000000000        24         0    yes 
  50 random   22  8.774035109        19         0    yes 
  57 near24   24  8.000000000        24         0    yes 
  58 del23    26  8.000000000        24         0    yes 
  44 random   22  8.774035109        19         0    yes 
  60 near24   26  8.000000000        24         0    yes 
  56 random   24  8.774035109        19         0    yes 
  61 del23    26  8.338022557        22         1    yes 2.4238
  63 near24   25  8.000000000        24         0    yes 
  64 del23    25  8.000000000        24         0    yes 
  59 random   24  9.022069047        18         0    yes 
  66 near24   24  8.000000000        24         0    yes 
  67 del23    26  8.000000000        24         0    yes 
  62 random   24  9.022069047        18         0    yes 
  69 near24   26  8.000000000        24         0    yes 
  70 del23    26  8.000000000        24         0    yes 
  65 random   24  9.022069047        18         0    yes 
  72 near24   25  8.000000000        24         0    yes 
  71 random   23  9.566885631        16         0    yes 
  68 random   22  8.526397054        20         0    yes 
  75 near24   26  8.000000000        24         0    yes 
  76 del23    25  8.000000000        24         0    yes 
  73 del23    26  8.338022557        22         1    yes 2.4238
  78 near24   26  8.000000000        24         0    yes 
  74 random   25  9.022717557        18         0    yes 
  79 del23    24  8.000000000        24         0    yes 
  81 near24   25  8.000000000        24         0    yes 
