theta swap tri hex
0.000000 0.00000000 0.00000000 0.00000000
0.004987 0.00002484 0.00003301 0.00000000
0.009973 0.00009927 0.00013148 0.00000000
0.014960 0.00022314 0.00029455 0.00000001
0.019947 0.00039628 0.00052137 0.00000003
0.024933 0.00061853 0.00081110 0.00000006
0.029920 0.00088973 0.00116290 0.00000012
0.034907 0.00120971 0.00157593 0.00000021
0.039893 0.00157828 0.00204934 0.00000035
0.044880 0.00199526 0.00258232 0.00000055
0.049867 0.00246047 0.00317402 0.00000082
0.054853 0.00297371 0.00382362 0.00000117
0.059840 0.00353480 0.00453029 0.00000162
0.064827 0.00414354 0.00529321 0.00000217
0.069813 0.00479972 0.00611153 0.00000286
0.074800 0.00550315 0.00698445 0.00000367
0.079786 0.00625360 0.00791113 0.00000464
0.084773 0.00705088 0.00889075 0.00000578
0.089760 0.00789478 0.00992247 0.00000709
0.094746 0.00878507 0.01100548 0.00000859
0.099733 0.00972154 0.01213893 0.00001030
0.104720 0.01070396 0.01332201 0.00001222
0.109706 0.01173213 0.01455386 0.00001437
0.114693 0.01280580 0.01583367 0.00001675
0.119680 0.01392476 0.01716058 0.00001938
0.124666 0.01508877 0.01853375 0.00002227
0.129653 0.01629761 0.01995233 0.00002542
0.134640 0.01755104 0.02141546 0.00002885
0.139626 0.01884883 0.02292230 0.00003255
0.144613 0.02019074 0.02447197 0.00003654
0.149600 0.02157654 0.02606361 0.00004082
0.154586 0.02300599 0.02769632 0.00004539
0.159573 0.02447885 0.02936924 0.00005027
0.164560 0.02599487 0.03108146 0.00005544
0.169546 0.02755382 0.03283208 0.00006092
0.174533 0.02915545 0.03462019 0.00006671
0.179520 0.03079952 0.03644487 0.00007279
0.184506 0.03248577 0.03830519 0.00007918
0.189493 0.03421397 0.04020019 0.00008588
0.194480 0.03598387 0.04212893 0.00009287
0.199466 0.03779521 0.04409044 0.00010015
0.204453 0.03964774 0.04608373 0.00010773
0.209440 0.04154122 0.04810780 0.00011559
0.214426 0.04347540 0.05016165 0.00012374
0.219413 0.04545001 0.05224424 0.00013215
0.224399 0.04746481 0.05435453 0.00014084
0.229386 0.04951955 0.05649145 0.00014978
0.234373 0.05161396 0.05865392 0.00015897
0.239359 0.05374779 0.06084084 0.00016840
0.244346 0.05592078 0.06305107 0.00017806
0.249333 0.05813268 0.06528348 0.00018793
0.254319 0.06038322 0.06753688 0.00019802
0.259306 0.06267215 0.06981010 0.00020830
0.264293 0.06499921 0.07210189 0.00021876
0.269279 0.06736414 0.07441101 0.00022939
0.274266 0.06976666 0.07673619 0.00024018
0.279253 0.07220653 0.07907612 0.00025111
0.284239 0.07468348 0.08142944 0.00026217
0.289226 0.07719723 0.08379479 0.00027334
0.294213 0.07974754 0.08617076 0.00028461
0.299199 0.08233412 0.08855591 0.00029596
0.304186 0.08495672 0.09094873 0.00030738
0.309173 0.08761506 0.09334772 0.00031885
0.314159 0.09030888 0.09575129 0.00033036
0.319146 0.09303790 0.09815784 0.00034189
0.324133 0.09580186 0.10056570 0.00035342
0.329119 0.09860048 0.10297316 0.00036493
0.334106 0.10143349 0.10537846 0.00037641
0.339093 0.10430062 0.10777977 0.00038785
0.344079 0.10720158 0.11017523 0.00039923
0.349066 0.11013611 0.11256289 0.00041052
0.354053 0.11310392 0.11494076 0.00042172
0.359039 0.11610474 0.11730677 0.00043280
0.364026 0.11913829 0.11965878 0.00044376
0.369012 0.12220427 0.12199459 0.00045457
0.373999 0.12530242 0.12431190 0.00046522
0.378986 0.12843245 0.12660836 0.00047569
0.383972 0.13159407 0.12888149 0.00048597
0.388959 0.13478699 0.13112877 0.00049604
0.393946 0.13801093 0.13334755 0.00050589
0.398932 0.14126559 0.13553509 0.00051550
0.403919 0.14455068 0.13768856 0.00052485
0.408906 0.14786591 0.13980500 0.00053394
0.413892 0.15121099 0.14188134 0.00054276
0.418879 0.15458561 0.14391439 0.00055127
0.423866 0.15798948 0.14590083 0.00055949
0.428852 0.16142230 0.14783721 0.00056738
0.433839 0.16488375 0.14971993 0.00057494
0.438826 0.16837355 0.15154524 0.00058216
0.443812 0.17189137 0.15330923 0.00058904
0.448799 0.17543692 0.15500783 0.00059554
0.453786 0.17900987 0.15663679 0.00060168
0.458772 0.18260992 0.15819167 0.00060743
0.463759 0.18623675 0.15966782 0.00061279
0.468746 0.18989004 0.16106041 0.00061775
0.473732 0.19356946 0.16236437 0.00062231
0.478719 0.19727470 0.16357439 0.00062645
0.483706 0.20100543 0.16468494 0.00063018
0.488692 0.20476132 0.16569020 0.00063348
0.493679 0.20854203 0.16658410 0.00063635
0.498666 0.21234723 0.16736024 0.00063879
0.503652 0.21617658 0.16801194 0.00064078
0.508639 0.22002975 0.16853219 0.00064234
0.513625 0.22390637 0.16891361 0.00064346
0.518612 0.22780612 0.16914847 0.00064412
0.523599 0.23172863 0.16922863 0.00064435
0.528585 0.22780612 0.16914847 0.00064412
0.533572 0.22390637 0.16891361 0.00064346
0.538559 0.22002975 0.16853219 0.00064234
0.543545 0.21617658 0.16801194 0.00064078
0.548532 0.21234723 0.16736024 0.00063879
0.553519 0.20854203 0.16658409 0.00063635
0.558505 0.20476132 0.16569020 0.00063348
0.563492 0.20100543 0.16468494 0.00063018
0.568479 0.19727470 0.16357439 0.00062645
0.573465 0.19356946 0.16236437 0.00062231
0.578452 0.18989004 0.16106041 0.00061775
0.583439 0.18623675 0.15966782 0.00061279
0.588425 0.18260992 0.15819167 0.00060743
0.593412 0.17900987 0.15663679 0.00060168
0.598399 0.17543692 0.15500783 0.00059554
0.603385 0.17189137 0.15330923 0.00058903
0.608372 0.16837355 0.15154524 0.00058217
0.613359 0.16488375 0.14971993 0.00057494
0.618345 0.16142230 0.14783721 0.00056738
0.623332 0.15798948 0.14590083 0.00055949
0.628319 0.15458561 0.14391439 0.00055127
0.633305 0.15121099 0.14188134 0.00054276
0.638292 0.14786591 0.13980500 0.00053394
0.643278 0.14455068 0.13768856 0.00052485
0.648265 0.14126559 0.13553510 0.00051550
0.653252 0.13801093 0.13334755 0.00050589
0.658238 0.13478699 0.13112877 0.00049604
0.663225 0.13159407 0.12888149 0.00048597
0.668212 0.12843245 0.12660836 0.00047569
0.673198 0.12530242 0.12431190 0.00046522
0.678185 0.12220427 0.12199459 0.00045457
0.683172 0.11913829 0.11965878 0.00044376
0.688158 0.11610474 0.11730677 0.00043280
0.693145 0.11310392 0.11494076 0.00042172
0.698132 0.11013611 0.11256289 0.00041052
0.703118 0.10720158 0.11017523 0.00039923
0.708105 0.10430062 0.10777977 0.00038785
0.713092 0.10143349 0.10537846 0.00037641
0.718078 0.09860048 0.10297316 0.00036493
0.723065 0.09580186 0.10056570 0.00035342
0.728052 0.09303790 0.09815784 0.00034189
0.733038 0.09030888 0.09575129 0.00033036
0.738025 0.08761506 0.09334772 0.00031885
0.743012 0.08495672 0.09094873 0.00030738
0.747998 0.08233412 0.08855591 0.00029596
0.752985 0.07974754 0.08617076 0.00028461
0.757972 0.07719723 0.08379479 0.00027334
0.762958 0.07468348 0.08142944 0.00026217
0.767945 0.07220653 0.07907612 0.00025111
0.772932 0.06976666 0.07673619 0.00024018
0.777918 0.06736414 0.07441101 0.00022939
0.782905 0.06499921 0.07210189 0.00021876
0.787891 0.06267215 0.06981010 0.00020830
0.792878 0.06038322 0.06753689 0.00019802
0.797865 0.05813268 0.06528348 0.00018793
0.802851 0.05592078 0.06305107 0.00017806
0.807838 0.05374779 0.06084084 0.00016840
0.812825 0.05161396 0.05865392 0.00015897
0.817811 0.04951955 0.05649145 0.00014978
0.822798 0.04746481 0.05435453 0.00014084
0.827785 0.04545001 0.05224424 0.00013215
0.832771 0.04347540 0.05016165 0.00012374
0.837758 0.04154122 0.04810780 0.00011559
0.842745 0.03964774 0.04608373 0.00010773
0.847731 0.03779521 0.04409044 0.00010015
0.852718 0.03598387 0.04212893 0.00009287
0.857705 0.03421397 0.04020019 0.00008588
0.862691 0.03248577 0.03830519 0.00007918
0.867678 0.03079952 0.03644487 0.00007279
0.872665 0.02915545 0.03462019 0.00006671
0.877651 0.02755382 0.03283208 0.00006092
0.882638 0.02599487 0.03108146 0.00005544
0.887625 0.02447885 0.02936924 0.00005027
0.892611 0.02300599 0.02769632 0.00004539
0.897598 0.02157654 0.02606361 0.00004082
0.902585 0.02019074 0.02447197 0.00003654
0.907571 0.01884883 0.02292230 0.00003255
0.912558 0.01755104 0.02141547 0.00002885
0.917545 0.01629761 0.01995233 0.00002542
0.922531 0.01508877 0.01853375 0.00002227
0.927518 0.01392476 0.01716058 0.00001938
0.932504 0.01280580 0.01583367 0.00001675
