theta swap mixed
0.050000 0.00247358 0.00083377
0.057286 0.00324153 0.00109465
0.064573 0.00411143 0.00139105
0.071859 0.00508265 0.00172299
0.079146 0.00615455 0.00209051
0.086432 0.00732648 0.00249363
0.093719 0.00859778 0.00293238
0.101005 0.00996776 0.00340680
0.108291 0.01143575 0.00391690
0.115578 0.01300105 0.00446273
0.122864 0.01466294 0.00504431
0.130151 0.01642071 0.00566167
0.137437 0.01827365 0.00631483
0.144724 0.02022101 0.00700383
0.152010 0.02226206 0.00772868
0.159296 0.02439606 0.00848941
0.166583 0.02662225 0.00928605
0.173869 0.02893987 0.01011861
0.181156 0.03134817 0.01098710
0.188442 0.03384637 0.01189156
0.195729 0.03643371 0.01283199
0.203015 0.03910940 0.01380841
0.210302 0.04187267 0.01482082
0.217588 0.04472272 0.01586924
0.224874 0.04765878 0.01695367
0.232161 0.05068004 0.01807412
0.239447 0.05378571 0.01923058
0.246734 0.05697498 0.02042306
0.254020 0.06024706 0.02165155
0.261307 0.06360112 0.02291605
0.268593 0.06703637 0.02421655
0.275879 0.07055198 0.02555303
0.283166 0.07414713 0.02692549
0.290452 0.07782100 0.02833390
0.297739 0.08157276 0.02977824
0.305025 0.08540158 0.03125850
0.312312 0.08930662 0.03277463
0.319598 0.09328704 0.03432663
0.326884 0.09734199 0.03591444
0.334171 0.10147063 0.03753804
0.341457 0.10567210 0.03919739
0.348744 0.10994553 0.04089243
0.356030 0.11429008 0.04262314
0.363317 0.11870485 0.04438944
0.370603 0.12318898 0.04619130
0.377889 0.12774158 0.04802865
0.385176 0.13236177 0.04990144
0.392462 0.13704864 0.05180958
0.399749 0.14180130 0.05375302
0.407035 0.14661883 0.05573169
0.414322 0.15150031 0.05774549
0.421608 0.15644483 0.05979434
0.428894 0.16145143 0.06187817
0.436181 0.16651918 0.06399686
0.443467 0.17164713 0.06615034
0.450754 0.17683430 0.06833848
0.458040 0.18207974 0.07056119
0.465327 0.18738244 0.07281834
0.472613 0.19274143 0.07510982
0.479899 0.19815568 0.07743550
0.487186 0.20362419 0.07979525
0.494472 0.20914591 0.08218893
0.501759 0.21471981 0.08461639
0.509045 0.22034482 0.08707747
0.516332 0.22601987 0.08957203
0.523618 0.23171340 0.09209989
0.530905 0.22598965 0.09466088
0.538191 0.22031486 0.09725481
0.545477 0.21469012 0.09988150
0.552764 0.20911650 0.10254074
0.560050 0.20359506 0.10523233
0.567337 0.19812683 0.10795604
0.574623 0.19271287 0.11071166
0.581910 0.18735418 0.11349895
0.589196 0.18205178 0.11631765
0.596482 0.17680665 0.11916752
0.603769 0.17161978 0.12204828
0.611055 0.16649215 0.12495965
0.618342 0.16142472 0.12790135
0.625628 0.15641845 0.13087307
0.632915 0.15147427 0.13387449
0.640201 0.14659312 0.13690528
0.647487 0.14177593 0.13996510
0.654774 0.13702362 0.14305360
0.662060 0.13233710 0.14617041
0.669347 0.12771727 0.14931513
0.676633 0.12316503 0.15248736
0.683920 0.11868126 0.15568669
0.691206 0.11426686 0.15891268
0.698492 0.10992269 0.16216488
0.705779 0.10564963 0.16544282
0.713065 0.10144855 0.16874601
0.720352 0.09732030 0.17207393
0.727638 0.09326574 0.17542607
0.734925 0.08928572 0.17880188
0.742211 0.08538108 0.18220077
0.749497 0.08155267 0.18562217
0.756784 0.07780132 0.18906545
0.764070 0.07412786 0.19252998
0.771357 0.07053313 0.19601509
0.778643 0.06701795 0.19952009
0.785930 0.06358313 0.20304427
0.793216 0.06022949 0.20658689
0.800503 0.05695785 0.21014717
0.807789 0.05376902 0.21372431
0.815075 0.05066380 0.21731749
0.822362 0.04764299 0.22092585
0.829648 0.04470738 0.22454850
0.836935 0.04185779 0.22818450
0.844221 0.03909498 0.23183291
0.851508 0.03641975 0.23549272
0.858794 0.03383289 0.23916291
0.866080 0.03133516 0.24284242
0.873367 0.02892734 0.24653013
0.880653 0.02661020 0.25022490
0.887940 0.02438450 0.25392554
0.895226 0.02225100 0.25763083
0.902513 0.02021044 0.26133950
0.909799 0.01826358 0.26505022
